w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
564.0,74.0,4.0,694.0,0,0,0,0,0,1,0,0,3
554.0,224.0,14.0,544.0,1,0,0,0,0,1,1,0,0
224.0,224.0,344.0,544.0,1,0,0,0,0,0,1,0,0
94.0,224.0,474.0,544.0,0,0,0,0,0,0,1,0,0
24.0,234.0,544.0,534.0,0,0,0,1,0,1,0,0,3
24.0,734.0,544.0,34.0,0,0,0,0,0,1,0,0,3
14.0,764.0,554.0,4.0,0,0,0,0,0,0,1,0,0
4.0,754.0,564.0,14.0,0,0,0,0,0,0,1,1,1
4.0,654.0,564.0,114.0,0,0,0,0,0,0,0,1,1
4.0,634.0,564.0,134.0,0,0,0,0,0,0,0,1,1
4.0,554.0,564.0,214.0,0,0,0,0,0,0,0,1,1
4.0,534.0,564.0,234.0,0,0,0,0,0,0,0,1,1
4.0,374.0,564.0,394.0,0,0,0,0,0,0,0,1,1
4.0,354.0,564.0,414.0,0,0,0,0,0,0,0,1,1
14.0,344.0,554.0,424.0,0,0,1,0,1,0,0,0,2
244.0,344.0,324.0,424.0,0,0,0,0,1,0,0,0,2
564.0,354.0,4.0,414.0,0,0,0,0,0,1,0,0,3
564.0,424.0,4.0,344.0,0,0,0,0,0,1,0,0,3
564.0,474.0,4.0,294.0,0,0,0,0,0,1,0,0,3
564.0,504.0,4.0,264.0,0,0,0,0,0,1,0,0,3
554.0,764.0,14.0,4.0,0,0,0,0,0,0,1,0,0
544.0,764.0,24.0,4.0,0,0,0,0,0,0,1,0,0
354.0,764.0,214.0,4.0,0,0,0,0,0,0,1,0,0
194.0,764.0,374.0,4.0,0,0,0,0,0,0,1,0,0
114.0,764.0,454.0,4.0,0,0,0,0,0,0,1,0,0
84.0,754.0,484.0,14.0,0,1,0,0,0,0,0,1,1
84.0,594.0,484.0,174.0,0,1,0,0,0,0,0,1,1
84.0,554.0,484.0,214.0,0,1,0,0,0,0,0,1,1
84.0,474.0,484.0,294.0,0,1,0,0,0,0,0,1,1
84.0,154.0,484.0,614.0,0,1,0,0,0,0,0,1,1
84.0,104.0,484.0,664.0,0,1,0,0,0,0,0,1,1
94.0,4.0,474.0,764.0,0,0,0,0,1,0,0,0,2
134.0,14.0,434.0,754.0,0,0,0,1,1,1,0,0,3
134.0,224.0,434.0,544.0,0,0,0,1,0,1,0,0,3
144.0,664.0,424.0,104.0,0,0,1,0,1,0,0,0,2
494.0,664.0,74.0,104.0,0,0,0,0,1,0,0,0,2
564.0,674.0,4.0,94.0,0,0,0,0,0,1,0,0,3
564.0,704.0,4.0,64.0,0,0,0,0,0,1,0,0,3
554.0,764.0,14.0,4.0,0,0,0,0,0,1,1,0,0
534.0,764.0,34.0,4.0,0,0,0,0,0,1,1,0,0
424.0,764.0,144.0,4.0,0,0,0,0,0,0,1,0,0
374.0,754.0,194.0,14.0,0,1,0,0,0,0,1,1,1
374.0,464.0,194.0,304.0,0,1,0,0,0,0,0,1,1
374.0,364.0,194.0,404.0,0,0,0,0,0,0,0,1,1
374.0,214.0,194.0,554.0,0,0,0,0,0,0,0,1,1
374.0,154.0,194.0,614.0,0,0,0,0,0,0,0,1,1
374.0,84.0,194.0,684.0,0,0,0,0,0,0,0,1,1
384.0,4.0,184.0,764.0,0,0,0,0,1,0,0,0,2
564.0,14.0,4.0,754.0,0,0,0,0,1,1,0,0,3
564.0,74.0,4.0,694.0,0,0,0,0,0,1,0,0,3
564.0,294.0,4.0,474.0,0,0,0,0,0,1,0,0,3
564.0,394.0,4.0,374.0,0,0,0,0,0,1,0,0,3
554.0,444.0,14.0,324.0,1,0,0,0,0,0,1,0,0
404.0,444.0,164.0,324.0,1,0,0,0,0,0,1,0,0
314.0,444.0,254.0,324.0,1,0,0,0,0,0,1,0,0
224.0,444.0,344.0,324.0,1,0,0,0,0,0,1,0,0
4.0,434.0,564.0,334.0,0,0,0,0,0,0,0,1,1
4.0,424.0,564.0,344.0,0,0,0,0,0,0,0,1,1
4.0,404.0,564.0,364.0,0,0,0,0,0,0,0,1,1
4.0,174.0,564.0,594.0,0,0,0,0,0,0,0,1,1
4.0,144.0,564.0,624.0,0,0,0,0,0,0,0,1,1
14.0,94.0,554.0,674.0,0,0,1,0,1,0,0,0,2
64.0,94.0,504.0,674.0,0,0,1,0,1,0,0,0,2
194.0,94.0,374.0,674.0,0,0,1,0,1,0,0,0,2
564.0,104.0,4.0,664.0,0,0,0,0,0,1,0,0,3
564.0,134.0,4.0,634.0,0,0,0,0,0,1,0,0,3
554.0,184.0,14.0,584.0,1,0,0,0,0,1,1,0,0
154.0,184.0,414.0,584.0,0,0,0,0,0,0,1,0,0
124.0,184.0,444.0,584.0,0,0,0,1,0,0,1,0,0
124.0,194.0,444.0,574.0,0,0,0,1,0,1,0,0,3
124.0,314.0,444.0,454.0,0,0,0,0,0,1,0,0,3
124.0,594.0,444.0,174.0,0,0,0,0,0,1,0,0,3
124.0,674.0,444.0,94.0,0,0,0,0,0,1,0,0,3
124.0,714.0,444.0,54.0,0,0,0,0,0,1,0,0,3
114.0,764.0,454.0,4.0,0,0,0,0,0,0,1,0,0
84.0,754.0,484.0,14.0,0,1,0,0,0,0,1,1,1
84.0,694.0,484.0,74.0,0,1,0,0,0,0,1,1,1
84.0,654.0,484.0,114.0,0,1,0,0,0,0,1,1,1
84.0,484.0,484.0,284.0,0,1,0,0,0,0,0,1,1
84.0,254.0,484.0,514.0,0,1,0,0,0,0,0,1,1
84.0,54.0,484.0,714.0,0,0,0,0,0,0,0,1,1
94.0,4.0,474.0,764.0,0,0,0,0,1,0,0,0,2
154.0,14.0,414.0,754.0,0,0,0,1,1,1,0,0,3
154.0,664.0,414.0,104.0,0,0,0,0,0,1,0,0,3
144.0,764.0,424.0,4.0,0,0,0,0,0,0,1,0,0
104.0,764.0,464.0,4.0,0,0,0,0,0,0,1,0,0
4.0,754.0,564.0,14.0,0,0,0,0,0,0,1,1,1
4.0,604.0,564.0,164.0,0,0,0,0,0,0,0,1,1
14.0,234.0,554.0,534.0,0,0,1,0,1,0,0,0,2
24.0,234.0,544.0,534.0,0,0,1,0,1,0,0,0,2
84.0,234.0,484.0,534.0,0,0,1,0,1,0,0,0,2
154.0,234.0,414.0,534.0,0,0,1,0,1,0,0,0,2
244.0,244.0,324.0,524.0,0,0,0,1,1,1,0,0,3
244.0,424.0,324.0,344.0,0,0,0,0,0,1,0,0,3
244.0,504.0,324.0,264.0,0,0,0,0,0,1,0,0,3
234.0,764.0,334.0,4.0,0,0,0,0,0,0,1,0,0
84.0,764.0,484.0,4.0,0,0,0,0,0,0,1,0,0
4.0,754.0,564.0,14.0,0,0,0,0,0,0,1,1,1
